DEPARTAMENTO;CLASE;TIPO;NOMBRE;NOMBRE CIENTÍFICO;IMAGEN;ICONO
Boyacá;Plantas;Endémica;No disponible;Linochilus jenesanus;https://inaturalist-open-data.s3.amazonaws.com/photos/94405574/small.jpeg;No disponible
Boyacá;Plantas;Endémica;No disponible;Espeletia betancurii;https://static.inaturalist.org/photos/45483582/small.jpeg;No disponible
Boyacá;Plantas;Endémica;Frailejón de Pan de Azúcar;Espeletia azucarina;https://inaturalist-open-data.s3.amazonaws.com/photos/106308202/small.jpg;No disponible
Boyacá;Plantas;Endémica;No disponible;Masdevallia aenigma;https://inaturalist-open-data.s3.amazonaws.com/photos/186457593/small.jpeg;No disponible
Boyacá;Plantas;Endémica;No disponible;Aiouea angulata;No disponible;https://colombia.inaturalist.org/assets/iconic_taxa/plantae-75px.png
Boyacá;Plantas;Endémica;No disponible;Pitcairnia grubbiana;No disponible;https://colombia.inaturalist.org/assets/iconic_taxa/plantae-75px.png
Boyacá;Plantas;Endémica;Frailejón de Paipa;Espeletia paipana;https://static.inaturalist.org/photos/196256482/small.jpeg;No disponible
Boyacá;Plantas;Endémica;No disponible;Melpomene anazalea;No disponible;https://colombia.inaturalist.org/assets/iconic_taxa/plantae-75px.png
Boyacá;Plantas;Introducida;Hoja del Aire;Kalanchoe pinnata;https://inaturalist-open-data.s3.amazonaws.com/photos/57398939/small.jpg;No disponible
Boyacá;Plantas;Introducida;Kalanchoa;Kalanchoe × houghtonii;https://inaturalist-open-data.s3.amazonaws.com/photos/23632405/small.jpg;No disponible
Boyacá;Plantas;Introducida;Maguey Blanco;Agave americana;https://static.inaturalist.org/photos/333174371/small.jpg;No disponible
Boyacá;Plantas;Introducida;Cardo Mariano;Silybum marianum;https://static.inaturalist.org/photos/6078409/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Papaya;Carica papaya;https://static.inaturalist.org/photos/104753508/small.jpg;No disponible
Boyacá;Plantas;Introducida;Acacia Negra Australiana;Acacia mearnsii;https://inaturalist-open-data.s3.amazonaws.com/photos/28449724/small.jpg;No disponible
Boyacá;Plantas;Introducida;No disponible;Rubus ellipticus;https://inaturalist-open-data.s3.amazonaws.com/photos/51430924/small.jpg;No disponible
Boyacá;Plantas;Introducida;Bretónica;Prunella vulgaris;https://inaturalist-open-data.s3.amazonaws.com/photos/9349226/small.jpg;No disponible
Boyacá;Plantas;Introducida;Cerraja;Sonchus oleraceus;https://static.inaturalist.org/photos/28460419/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Besitos;Impatiens walleriana;https://inaturalist-open-data.s3.amazonaws.com/photos/72834061/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Sábila Candelabro Africano;Aloe arborescens;https://inaturalist-open-data.s3.amazonaws.com/photos/221831309/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Tulipán Africano;Spathodea campanulata;https://inaturalist-open-data.s3.amazonaws.com/photos/209476979/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Balazo;Monstera deliciosa;https://static.inaturalist.org/photos/10534833/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Hierba de Chivo;Ageratum conyzoides;https://inaturalist-open-data.s3.amazonaws.com/photos/33814724/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Botón de Oro;Tithonia diversifolia;https://inaturalist-open-data.s3.amazonaws.com/photos/12719823/small.jpg;No disponible
Boyacá;Plantas;Introducida;Albicia Amarilla;Paraserianthes lophantha;https://inaturalist-open-data.s3.amazonaws.com/photos/73698384/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Guayabo de Brasil;Feijoa sellowiana;https://inaturalist-open-data.s3.amazonaws.com/photos/148368813/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Sietecueros Nazareno Brasileño;Pleroma urvilleanum;https://static.inaturalist.org/photos/36604645/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Pasto Azul;Dactylis glomerata;https://inaturalist-open-data.s3.amazonaws.com/photos/44960033/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Nopal de Castilla;Opuntia ficus-indica;https://inaturalist-open-data.s3.amazonaws.com/photos/23372949/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Estrellita;Hippobroma longiflora;https://static.inaturalist.org/photos/34918119/small.jpg;No disponible
Boyacá;Plantas;Introducida;Farolito;Callianthe megapotamica;https://inaturalist-open-data.s3.amazonaws.com/photos/58055483/small.jpg;No disponible
Boyacá;Plantas;Introducida;Mermelada;Streptosolen jamesonii;https://static.inaturalist.org/photos/351852281/small.jpg;No disponible
Boyacá;Plantas;Introducida;Ortiga;Urtica dioica;https://inaturalist-open-data.s3.amazonaws.com/photos/144861756/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Bolsa de Pastor;Capsella bursa-pastoris;https://inaturalist-open-data.s3.amazonaws.com/photos/9103381/small.jpg;No disponible
Boyacá;Plantas;Introducida;Brevo;Ficus carica;https://inaturalist-open-data.s3.amazonaws.com/photos/3069933/small.jpg;No disponible
Boyacá;Plantas;Introducida;Altamisa;Tanacetum parthenium;https://inaturalist-open-data.s3.amazonaws.com/photos/10145/small.jpg;No disponible
Boyacá;Plantas;Introducida;Mostaza;Brassica rapa;https://static.inaturalist.org/photos/179299209/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Helecho Serrucho;Nephrolepis cordifolia;https://inaturalist-open-data.s3.amazonaws.com/photos/194834239/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Nochebuena;Euphorbia pulcherrima;https://inaturalist-open-data.s3.amazonaws.com/photos/390624750/small.jpg;No disponible
Boyacá;Plantas;Introducida;Salvia Cordón de San Francisco;Salvia leucantha;https://inaturalist-open-data.s3.amazonaws.com/photos/62497/small.jpg;No disponible
Boyacá;Plantas;Introducida;Lirio Belladona;Amaryllis belladonna;https://static.inaturalist.org/photos/87015510/small.jpg;No disponible
Boyacá;Plantas;Introducida;Kikuyo;Cenchrus clandestinus;https://inaturalist-open-data.s3.amazonaws.com/photos/228843465/small.jpg;No disponible
Boyacá;Plantas;Introducida;Pavoncillo Rojo;Megaskepasma erythrochlamys;https://inaturalist-open-data.s3.amazonaws.com/photos/125987740/small.jpg;No disponible
Boyacá;Plantas;Introducida;Hoja de Sangre;Hypoestes phyllostachya;https://static.inaturalist.org/photos/26037834/small.jpg;No disponible
